보험금,NNG
영감,NNG
명절,NNG
강요,NNG
학업,NNG
전혀,NNG
곳,NNG
악화,NNG
회식,NNG
저런,NNG
누군가,NNG
부장,NNG
비용,NNG
집안일,NNG
술,NNG
가입,NNG
상심,NNG
의식,NNG
아드님,NNG
집중,NNG
갱년기,NNG
시어머니,NNG
위로,NNG
뭔가,NNG
일등,NNG
마련,NNG
효과,NNG
일자리,NNG
응원,NNG
날,NNG
수치,NNG
육아,NNG
월세,NNG
여러,NNG
요구,NNG
양제,NNG
다리,NNG
안달,NNG
일찍,NNG
간호사,NNG
마비,NNG
무릎,NNG
대하,NNG
의심,NNG
요양원,NNG
통보,NNG
친척,NNG
신지,NNG
판정,NNG
수능,NNG
허락,NNG
자신감,NNG
의견,NNG
자고,NNG
헤어지자,NNG
번,NNG
기도,NNG
안도,NNG
혈압,NNG
상대,NNG
아르바이트,NNG
출근,NNG
마을,NNG
청소,NNG
뒤,NNG
기간,NNG
미리,NNG
당신,NNG
완치,NNG
거리,NNG
직업,NNG
긴장,NNG
체력,NNG
지갑,NNG
유지,NNG
미래,NNG
선택,NNG
현실,NNG
암,NNG
퇴직금,NNG
사과,NNG
가정,NNG
계기,NNG
비밀,NNG
정신,NNG
의지,NNG
믿음,NNG
분,NNG
데,NNG
저축,NNG
할아버지,NNG
경로당,NNG
분노,NNG
일도,NNG
따님,NNG
부동산,NNG
영어,NNG
필요,NNG
강아지,NNG
그녀,NNG
가면,NNG
옷,NNG
형,NNG
월급,NNG
만성,NNG
능력,NNG
누가,NNG
올해,NNG
노년,NNG
일부러,NNG
졸업,NNG
나니,NNG
안정,NNG
예정,NNG
피해,NNG
하나요,NNG
이웃,NNG
입사,NNG
노트,NNG
수도,NNG
정리,NNG
하자,NNG
간다,NNG
권유,NNG
환자,NNG
반장,NNG
전부,NNG
저번,NNG
버스,NNG
와이프,NNG
분위기,NNG
시기,NNG
적금,NNG
성적표,NNG
남,NNG
외식,NNG
극복,NNG
저녁,NNG
취약,NNG
가슴,NNG
대답,NNG
차이,NNG
일만,NNG
순간,NNG
소외,NNG
염려,NNG
관절염,NNG
경험,NNG
노,NNG
차별,NNG
달리,NNG
말다툼,NNG
흥분,NNG
대회,NNG
취직,NNG
가방,NNG
어머님,NNG
바로,NNG
통장,NNG
상대방,NNG
천식,NNG
지출,NNG
입시,NNG
화,NNG
참석,NNG
부인,NNG
전,NNG
부정,NNG
동아리,NNG
지각,NNG
일주일,NNG
몹시,NNG
사진,NNG
보,NNG
금전,NNG
통해,NNG
약,NNG
이용,NNG
탈모,NNG
손녀,NNG
사회,NNG
연인,NNG
청혼,NNG
등급,NNG
종일,NNG
평가,NNG
내용,NNG
식사,NNG
승진,NNG
여기저기,NNG
뭐,NNG
려고,NNG
병실,NNG
안심,NNG
활동,NNG
싸움,NNG
로부터,NNG
발견,NNG
방어,NNG
주가,NNG
통화,NNG
생기,NNG
공무원,NNG
과거,NNG
도박,NNG
다이어트,NNG
운영,NNG
은행,NNG
담임,NNG
커닝,NNG
확신,NNG
취미,NNG
점심,NNG
남아,NNG
추천,NNG
면접,NNG
현재,NNG
간섭,NNG
노래,NNG
자꾸만,NNG
당장,NNG
또,NNG
어디가,NNG
증상,NNG
드니,NNG
과장,NNG
손해,NNG
이름,NNG
의미,NNG
재촉,NNG
그게,NNG
신청,NNG
구매,NNG
시절,NNG
당뇨병,NNG
해고,NNG
동창회,NNG
파혼,NNG
필기,NNG
어이,NNG
외모,NNG
척,NNG
확인,NNG
산책,NNG
투병,NNG
외출,NNG
디스크,NNG
손님,NNG
보태,NNG
복권,NNG
원금,NNG
보지,NNG
화장실,NNG
절대,NNG
사용,NNG
진행,NNG
상의,NNG
관련,NNG
간호,NNG
마음대로,NNG
체중,NNG
식품,NNG
가격,NNG
룸메이트,NNG
집주인,NNG
등,NNG
다툼,NNG
짝사랑,NNG
편이,NNG
방해,NNG
핸드폰,NNG
악의,NNG
요리,NNG
멀리,NNG
오히려,NNG
감동,NNG
회장,NNG
따돌림,NNG
남지,NNG
피하,NNG
함부로,NNG
러신,NNG
방문,NNG
양보,NNG
꼭,NNG
적,NNG
영화,NNG
직접,NNG
살기,NNG
아버님,NNG
변화,NNG
퇴사,NNG
이성,NNG
큰아들,NNG
폭력,NNG
보이,NNG
욕,NNG
달,NNG
학생,NNG
휴가,NNG
신체,NNG
폐암,NNG
암치료,NNG
매달,NNG
간암,NNG
장님,NNG
계약,NNG
아파트,NNG
원래,NNG
모양,NNG
과외,NNG
기말고사,NNG
나중,NNG
건,NNG
개인,NNG
갈등,NNG
처리,NNG
배려,NNG
화목,NNG
깜짝,NNG
심정,NNG
헬스장,NNG
청년,NNG
거지,NNG
학과,NNG
간,NNG
애,NNG
분명,NNG
군대,NNG
표정,NNG
장난,NNG
새벽,NNG
날짜,NNG
명,NNG
준,NNG
감기,NNG
산부인과,NNG
식단,NNG
장사,NNG
대인,NNG
수입,NNG
거의,NNG
질문,NNG
압박,NNG
눈,NNG
지난,NNG
시골,NNG
감당,NNG
죽음,NNG
심장,NNG
술자리,NNG
표현,NNG
목표,NNG
무조건,NNG
대로,NNG
주로,NNG
삼십,NNG
단체,NNG
습관,NNG
위암,NNG
파티,NNG
무기,NNG
금액,NNG
정상,NNG
뉴스,NNG
질병,NNG
김,NNG
이민,NNG
명품,NNG
중간고사,NNG
전교,NNG
대비,NNG
부모,NNG
지방,NNG
두려움,NNG
컴퓨터,NNG
후,NNG
밥,NNG
외국,NNG
두,NNG
지병,NNG
복지관,NNG
지하철,NNG
개월,NNG
절교,NNG
인연,NNG
회비,NNG
예정일,NNG
시댁,NNG
시부모,NNG
인기,NNG
과목,NNG
데리,NNG
경우,NNG
도대체,NNG
옆,NNG
내지,NNG
방금,NNG
그때,NNG
신경질,NNG
재미,NNG
주어,NNG
장기,NNG
절망,NNG
관해,NNG
빚,NNG
카드,NNG
옛날,NNG
참여,NNG
고장,NNG
계산,NNG
대가,NNG
요청,NNG
해외여행,NNG
전염병,NNG
예약,NNG
기사,NNG
박,NNG
교수,NNG
신혼,NNG
대서,NNG
방학,NNG
금방,NNG
완전,NNG
학기,NNG
막상,NNG
몇,NNG
노트북,NNG
타고,NNG
겨우,NNG
처지,NNG
취해,NNG
재혼,NNG
답장,NNG
통증,NNG
말기,NNG
관절,NNG
재발,NNG
정기,NNG
주사,NNG
간병,NNG
만남,NNG
총각,NNG
보증,NNG
잔치,NNG
정년,NNG
중학교,NNG
상치,NNG
용기,NNG
고,NNG
보시,NNG
삶,NNG
조심,NNG
기회,NNG
심해,NNG
구,NNG
유학,NNG
회복,NNG
부터,NNG
중년,NNG
초기,NNG
문자,NNG
음식점,NNG
환갑,NNG
상견례,NNG
초대,NNG
입학,NNG
국어,NNG
내신,NNG
실력,NNG
왕따,NNG
불안감,NNG
종종,NNG
그것,NNG
당한,NNG
불만,NNG
정작,NNG
이제야,NNG
존재,NNG
어른,NNG
중인,NNG
정이,NNG
편지,NNG
손,NNG
쇼핑,NNG
추석,NNG
소통,NNG
센터,NNG
진료,NNG
요실금,NNG
근무,NNG
내시경,NNG
신세,NNG
사회생활,NNG
대리,NNG
내기,NNG
반,NNG
어차피,NNG
취급,NNG
온종일,NNG
창피해,NNG
팀,NNG
부쩍,NNG
억지로,NNG
화도,NNG
난리,NNG
시도,NNG
하루하루,NNG
배,NNG
사서,NNG
생계,NNG
밖,NNG
냄새,NNG
존경,NNG
공감,NNG
신발,NNG
메시지,NNG
주인,NNG
기침,NNG
유방암,NNG
야근,NNG
합병증,NNG
부서,NNG
대기업,NNG
일방,NNG
출금,NNG
주시,NNG
답안,NNG
부끄러움,NNG
감사,NNG
예상,NNG
구박,NNG
마지막,NNG
육십,NNG
그림,NNG
음악,NNG
조언,NNG
실기,NNG
원인,NNG
내년,NNG
대처,NNG
남동생,NNG
낼,NNG
먹기,NNG
진심,NNG
연예인,NNG
작년,NNG
이십,NNG
환경,NNG
갈수록,NNG
해외,NNG
사,NNG
조절,NNG
고양이,NNG
라면,NNG
온몸,NNG
지난주,NNG
친정,NNG
또래,NNG
녀석,NNG
달이,NNG
로또,NNG
귀가,NNG
사수,NNG
기부,NNG
뭘,NNG
뒷바라지,NNG
나신,NNG
가난,NNG
수시,NNG
물어,NNG
고기,NNG
숨기,NNG
더욱,NNG
여동생,NNG
개선,NNG
자살,NNG
도둑,NNG
잠,NNG
막내,NNG
장애,NNG
사촌,NNG
결심,NNG
차려,NNG
참고,NNG
지역,NNG
딸아이,NNG
뱃살,NNG
마스크,NNG
장례식,NNG
프로젝트,NNG
전학,NNG
적성,NNG
모의고사,NNG
정해,NNG
외톨이,NNG
지지,NNG
원망,NNG
탓,NNG
원서,NNG
오라,NNG
어깨,NNG
가도,NNG
염세,NNG
내야,NNG
형제,NNG
마치,NNG
조건,NNG
지난번,NNG
백만,NNG
의도,NNG
텔레비전,NNG
운전,NNG
고지혈증,NNG
처방,NNG
